ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
57,0.0,0.7,0.0,1.0,0.017,0.015,0.007,0.006,0.006,0.006,1.0,1.0,0.0,
58,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
59,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
60,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
61,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
62,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
63,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
64,0.0,0.7,0.0,0.0,0.015,0.013,0.007,0.007,0.007,0.007,0.008,0.006,0.0,
65,0.0,0.7,0.0,0.0,0.015,0.013,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
66,0.0,0.7,0.0,0.0,0.013,0.016,0.007,0.006,0.006,0.007,0.008,0.006,0.0,
67,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
68,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
69,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
70,0.0,0.7,0.0,0.0,0.015,0.013,0.007,0.006,0.007,0.006,0.006,0.006,0.0,
71,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
72,0.0,0.7,0.0,0.0,0.015,0.013,0.006,0.007,0.007,0.006,0.006,0.006,0.0,
73,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.007,0.006,0.006,0.006,0.008,0.0,
74,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.007,0.006,0.006,0.006,0.006,0.0,
75,0.0,0.7,0.0,0.0,0.015,0.013,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
76,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
77,0.0,0.7,0.0,0.0,0.015,0.013,0.006,0.006,0.007,0.007,0.006,0.006,0.0,
78,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
79,0.0,0.7,0.0,0.0,0.015,0.015,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
80,0.0,0.7,0.0,0.0,0.015,0.013,0.006,0.006,0.007,0.007,0.006,0.006,0.0,
81,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
82,0.0,0.7,0.0,0.0,0.015,0.013,0.007,0.006,0.006,0.007,0.008,0.008,0.0,
83,0.0,0.7,0.0,0.0,0.015,0.013,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
84,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
85,0.0,0.7,0.3,0.0,0.013,0.021,0.006,0.006,0.007,0.008,0.006,0.006,0.0,
86,1.0,0.7,1.0,0.0,0.04,0.036,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
87,1.0,0.7,1.0,0.0,0.042,0.043,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
88,1.0,0.7,1.0,0.0,0.034,0.035,0.006,0.008,0.006,0.008,0.008,0.008,0.0,
89,1.0,0.7,0.3,0.0,0.042,0.023,0.008,0.006,0.006,0.008,0.006,0.006,0.0,
90,1.0,0.7,0.9,0.0,0.034,0.032,0.006,0.008,0.006,0.008,0.008,0.008,0.0,
91,0.7,0.7,0.3,1.0,0.025,0.017,0.006,0.008,0.006,0.008,1.0,1.0,0.0,
92,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.007,0.008,0.006,0.006,0.0,
93,0.0,0.7,0.0,0.0,0.016,0.013,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
