ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
57,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
58,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
59,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.008,0.006,0.0,
60,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
61,0.0,0.4,0.0,0.0,0.009,0.011,0.007,0.006,0.006,0.007,0.006,0.006,0.0,
62,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
63,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.007,0.006,0.008,0.0,
64,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
65,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
66,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.008,0.0,
67,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
68,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.007,0.006,0.007,0.006,0.006,0.0,
69,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.007,0.007,0.008,0.006,0.0,
70,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.007,0.006,0.006,0.006,0.008,0.0,
71,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
72,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
73,0.0,0.4,0.0,0.0,0.009,0.011,0.007,0.007,0.006,0.006,0.008,0.008,0.0,
74,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.007,0.008,0.006,0.0,
75,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
76,1.0,0.4,1.0,0.0,0.027,0.027,0.006,0.006,0.006,0.007,0.008,0.006,0.0,
77,1.0,0.4,1.0,0.0,0.033,0.027,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
78,1.0,0.4,1.0,0.0,0.027,0.027,0.006,0.006,0.008,0.006,0.006,0.006,0.0,
79,1.0,0.4,1.0,0.0,0.027,0.027,0.006,0.008,0.006,0.006,0.008,0.008,0.0,
80,1.0,0.4,1.0,0.0,0.027,0.027,0.006,0.006,0.008,0.008,0.006,0.006,0.0,
81,0.0,0.4,0.0,1.0,0.009,0.013,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
82,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
83,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.007,0.006,0.006,0.006,0.008,0.0,
84,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.008,0.0,
85,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.007,0.007,0.006,0.006,0.0,
86,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.008,0.006,0.0,
87,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
88,0.0,0.4,0.0,0.0,0.011,0.011,0.007,0.007,0.006,0.006,0.006,0.008,0.0,
